FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1787,E05010398,Herne & Broomfield,,618337,165451,1.13384,51.34618,10253999.11,16840.85604,b59f636b-0cee-4151-b3a1-1e8ce439217f
1788,E05010399,Heron,,617382,167627,1.121478,51.36608,2726209.683,10192.41954,fa639584-625f-4675-a523-0469f07dee57
1789,E05010402,Northgate,,616345,159015,1.10138,51.28916,1847885.134,8501.453216,80500ccc-3c3a-46a9-b4fd-df4b9f4901ad
1790,E05010404,Seasalter,,608955,163802,0.998357,51.3349,11047023.48,16336.84259,c3e92df1-dfb4-4684-aa4b-97b545fed918
1791,E05010405,St Stephen's,,615007,159119,1.082283,51.2906,2309819.804,8683.524064,d1d0e416-5067-4e91-8f01-cbc75bb48608
1792,E05010407,Swalecliffe,,613681,167206,1.068141,51.36371,1707576.441,8293.838247,90a980e2-85fe-4958-a8c2-530cae419c83
1793,E05010408,Tankerton,,611942,166924,1.043031,51.36183,1046105.216,5466.732431,7d42d6e5-b2d5-4fb6-ac00-728c0e5ac07e
1794,E05010409,West Bay,,615577,167685,1.095624,51.36729,1339174.944,6300.831336,cf91ca9b-a563-45c6-bde7-7c22ca249b91
1795,E05010410,Westgate,,614367,157938,1.07241,51.28023,1826887.371,7305.961177,57acb90c-b43d-48c7-bd0c-1651f156f9f3
1796,E05010411,Wincheap,,613615,155994,1.060484,51.26306,7359970.118,15424.68257,0043be94-4e6c-4a48-8299-10c5250af97a
1797,E05010412,Bank Top & Lascelles,,430032,513769,-1.53759,54.51834,1099866.314,4530.554459,6e5c58b5-82e1-4260-b0e0-9341cf5793f6
1798,E05010413,Brinkburn & Faverdale,,425289,517843,-1.61051,54.55521,8706319.85,19548.68766,b17e31d1-760e-4b5d-b8e4-f3eefda2e345
1799,E05010414,Cockerton,,426625,515878,-1.59003,54.53748,1338168.298,5811.900162,21ba90d8-2724-4ca9-a67c-9a1a68b37697
1800,E05010415,College,,427878,514672,-1.57078,54.52658,971270.1904,4027.150255,9f59b770-db14-4b2f-b501-a0520d11212d
1801,E05010416,Eastbourne,,430748,513263,-1.52658,54.51375,2066521.399,7859.374021,177ed0ab-d740-4290-98ca-8c637d7cb08a
1802,E05010417,Harrowgate Hill,,429119,517693,-1.55131,54.55366,2076357.059,7741.021553,703d086b-a09f-409a-bd28-1d6bb03896fb
1803,E05010418,Haughton & Springfield,,430557,516472,-1.5292,54.5426,1610949.236,6098.446557,fb4927f1-5b96-47b3-a591-be4cc55ca6c4
1804,E05010419,Heighington & Coniscliffe,,421914,519098,-1.6626,54.56664,78847634.92,71015.66275,0f498de1-976b-44ab-ad36-d8ac8de6a6af
1805,E05010420,Hummersknott,,426545,513884,-1.59144,54.51957,2830691.366,8461.627144,47c20017-d8fa-4af4-a591-8a237b3f6138
1806,E05010421,Hurworth,,431006,511453,-1.52279,54.49747,27381200.5,41501.95289,ddb2cb0f-4364-4dbd-9752-417b0e5b69a8
1807,E05010422,Mowden,,426787,515124,-1.58759,54.5307,1026471.589,4980.001363,1c8ce748-9c88-490e-8eba-c8f634a8d770
1808,E05010423,North Road,,429124,516267,-1.55137,54.54084,1658819.327,6137.707052,bf13bb3f-e13d-46dc-8e4b-4159fe12a80b
1809,E05010424,Northgate,,429000,515283,-1.55338,54.53201,797719.5412,4266.997389,480dde5e-2404-41e8-9ff1-d6b69eb833b7
1810,E05010425,Park East,,428991,513223,-1.55372,54.51349,2006835.575,9080.680899,d466b27f-0034-4fd7-9ce6-2a66cc96ea64
1811,E05010426,Park West,,428036,513359,-1.56846,54.51477,2190559.53,7932.222407,4964890f-d3cd-4684-b802-d678ba611733
1812,E05010427,Pierremont,,427957,515334,-1.56949,54.53252,856485.5746,4782.517196,4856955d-e14e-4c4a-a076-41b1902f1e92
1813,E05010428,Red Hall & Lingfield,,431343,514907,-1.51722,54.52849,2300126.111,7191.394662,7bdbd508-fe62-41e6-bd72-39d4a09a72de
